;Nome ;CEP;
146;Vences Mix;07175-331;
147;MIX CONCRETO USINADO E LOCAÇÕES DE BOMBA;;
148;Rodomix Concretos;;
149;CONCRET NORTE_;;
150;FCK CONCRETOS;;
151;CONPEV Concretos;;
152;ADRIMIX LOCAÇÕES;;
153;Carioca Mix;;
154;Concretex Toledo;;
155;Weronka Bombas;;
156;CP MIX CONCRETO USINADO;;
157;inframix;;
158;UON - Usina Ouro Negro;67020-590;
159;rodrigo.lagomix;;
160;Concreteira Mariana Mix;;
161;Jas Mix - Concreto Bombeado;;
162;KiMuRa ConcretO;08735-285;
163;》Jai (Jaimix Concreto);;
164;Marco Zero Construção;37554-020;
165;Martini Rental Mix;;
166;Gilvaldo Engel;;
167;Os Qualificados de Bh 🤘🏻;;
168;CF Mix Concreto;;
169;Via Concreto Locaçoes;43810-000;
170;Concrethor;;
171;Concreatus pré-moldados;68.193-000;
172;Pav Tubo Indústria e Comércio;79013-545;
173;Benéfica Concreto;35910-000;
174;Hipermix Barueri  SP;06612-000;
175;Tabal Mineração;68647-000;
176;𝘜𝘴𝘪𝘯𝘢 𝘊𝘰𝘴𝘵𝘢 𝘔𝘪𝘹;;
177;NACIONAL BOMBAS;37130-226;
178;Supercon Concreto;00017-017;
179;GF Mix Serviços de Concretagem;;
180;IMPREMIX PREMOLDADOS;42710-600;
181;Grupo AP2;61635-020;
182;Damac mix;Penapolis   SP;
183;VIEIRA PAVIMENTAÇÃO;;
184;TRAÇO FORTE PREMOLDADOS;;
185;Artefatos de Cimento Willers;;
186;Norte Mix;29930-000;
187;Concreto Rei;;
188;VOLCAN;;
189;Concrete Já;09015-510;
190;Dinamik Sistemas Construtivos;;
191;GBCon Concreto Usinado;;
192;Britolux;;
193;Amendonça Concretos e Argamassas;;
194;Back Engenharia;25953-008;
195;KDM Pré-Moldados;88906-101;
196;Vetor Concretos;;
197;Pimentel Embu Guaçu;;
198;Petromix;25750-226;
199;Rodomix Concreto;34800-000;
200;Missio Mecanica Pesada e Industrial;;
201;Concrevale | Artefatos de cimento;76874-000;
202;Locarmix Concreto Usinado;78045-280;
203;Pilar Pré-moldados;;
204;Masa Concretos;;
205;Concre Master Lajes e Concreto;;
206;Matieli Mix Concreto;;
207;Concrete • Concreteira;;
208;Concrecon Salvador-Ba;41230-085;
209;Welmix Concreto;38407-180;
210;CONCREFORTY;;
211;JCT PAVIMENTAÇÂO&ENGENHARIA;;
212;Metro Cubico Concreto;66623-590;
213;Pedreira e Concreteira Sul Britas;;
214;Visão Concreto;85859-712;
215;Jmix Concreto;;
216;CONSTRUTORA P🔺️VIMINAS;;
217;AL Concreto Usinado;;
218;EFMIX CONCRETO 34-3316-3011;;
219;Cmax Concreteira;;
220;Concrealto;;
221;CONCREMAX CONCRETO DE OURINHOS;19914-005;
222;Soluções em Concretos;75250-000;
223;ROMIX CONCRETO USINADO;07221-030;
224;Nova Potência | Concreto Usinado Jandira;06660-080;
225;Altivo Queiroz;;
226;BALSAMO CONSTRUÇÕES LTDA;78080-540;
227;Praiamix Concreto;;
228;concreteira riomafra maahs;;
229;TokForte Concretagem;;
230;concretubos;;
231;Multimix Comercio De Concreto De Teresopolis;;
232;Pavimento Sorocaba;;
233;Concreto Brasília Bombex;;
234;Ciclo do Concreto;;
235;R&R PAVIMENTAÇÃO LTDA;;
236;NOROESTE ASFALTOS;;
237;Alepav Pavimentação e Locação.;;
238;Concrete - Solucões em Concreto Usinado;;
239;Enge Massa;;
240;Tc Concreto e Distribuidora;65590-000;
241;Karina Oliveira;;
242;Concretu's Usina de Concreto;;
243;Safra Concretos | Concreto Usinado;;
244;CONCREGUA CONCRETO E ARGAMASSA;;
245;CENTEC CONSULTORIA E SERVIÇOS TÉCNICOS;77813-050;
246;Macucolaje Paraty;23970-000;
247;Coopermix Concretos;74993-130;
248;CONCREBLOCOS ®️;39440-000;
249;Agemax concretos;98400-000;
250;Fox Bombas 🦊;;
251;Concrenit Artefatos de Cimento;83409-650;
252;Dantas Locações;;
253;Concretnorte;;
254;Marrom.mix;;
255;Pavimax Rodovias;89.900-000;
256;Pavmaster Pavimentação;;
257;QZ Concretos;;
258;Tecsane Eng.  Pavimentação;;
259;UBAMIX CONCRETO E LAJES;11680-000;
260;DPMIX Bombeamento;;
261;Concretudo;23822-090;
262;eng.marcos gomes;;
263;PAVING TECH;;
264;CONCRENOR;;
265;R CAP;;
266;Concrepassos Ltda;;
267;CENTRALMIX CONCRETOS;;
268;Usecon Concretos;;
269;Samanta Comercial Liga Química;;
270;Concreteira Lajeresk;;
271;TRIUNFO INFRAESTRUTURA;;
272;AMAPÁ-LOC;68901-025;
273;Terra Mogi Terraplenagem Pavimentação e Material de construção;;
274;CONCRETO USINADO;;
275;NJ Pré - Moldados Engenharia;;
276;LK Concrenavi Amambai;;
277;Precom;35300-104;
278;Fronza Concreto Industrial;;
279;Concrexap Frederico Westphalen;;
280;Susmix Concreto;;
281;BANDMIX CONCRETO;;
282;Dallé CONCRETOS;96400-970;
283;𝐌𝐉𝐂 𝐂𝐎𝐍𝐂𝐑𝐄𝐓𝐄𝐈𝐑𝐀;;
284;Roque Carlos Oliveira Jr.;;
285;Tiago;;
286;Goias Pavimentacoes e Asfaltos;74923-420;
287;Secular Asfaltos;58301-645;
288;Polipav;;
289;AVMIX CONCRETOS;;
290;Concremix Concretos;;
291;Qualitá Locação & Equipamentos;;
292;Riomix - Concreto Usinado;;
293;Ensaios em Concreto, Argamassas, Empreiteira de Mao de Obra;;
294;Concreto Usinado Df 4104-1262;72322-310;
295;RONNY MIX;;
296;Aconcretar Concreto e Ferragem;14402-415;
297;Demacon Demamix (NOVO);;
298;R3Mix Concreto Usinado;;
299;TARCAL;;
300;Concrepool;;
301;"CVC Concreto Bombeado🤜🤛
Cristiano Moreira 97647-9782";;
302;VIGAFORTE Concretos;;
303;SUL VALE CONSTRUTORA;81710-010;
304;🏗️ ConcreValle;;
305;Fortimix Concreto;37468-000;
306;ARGAMASSA & CONCRETO JCD;;
307;O Concreteiro;;
308;Construtora Angelu's;;
309;CCR Locação;;
310;CONCRETO USINADO | H2 CONCRETO;;
311;ASFALTARE - Soluções em Asfalto;69415-000;
312;Econcreto;;
313;Concremax Concreteira;;
314;Concreto ConcrettMixx;;
315;Pavimentar;;
316;Concreteira Capital Mix;69025-000;
317;Concreto Mix da Villa;;
318;ARTCON;;
319;JM2 Infraestruturas;17012-056;
320;CONCRETO USINADO;;
321;𝕊𝕌ℙ𝔼ℝ 𝕄𝔸𝕏 ℂ𝕆ℕℂℝ𝔼𝕋𝕆;78110-000;
322;Via Mix Concreto;;
323;Gaplan Caminhões;;
324;Reghimix Bauru;;
325;Concreramos.oficial;;
326;Mecânica Miloca;07135-163;
327;Inmaprel Pré-Moldados;;
328;CONCREPORTO;;
329;Linhares Mix Concreto;;
330;Black Mix Bombas e Concreto Usinado Ltda;;
331;Superbase Concreto;18401-440;
332;Leandro Marin;;
333;PAVITEL;;
334;Pavimentação Araras;;
335;Pavimenta Asfaltos;16950-000;
336;concreto união;;
337;Concrereti Vargem Concreto Usinado;12935-000;
338;Premix Concreto;;
339;Brasmaq;;
340;Inpacto Mix;;
341;Artefatos de Cimento Líder;83514-000;
342;Hmix Indústria de Concreto;;
343;Novamix - Concreto e Argamassa;81460-070;
344;SUPERPAVER ASFALTOS;;
345;RJ CONCRETAGEM;53300-180;
346;Poção Mix;53620-856;
347;Concreloc locacoes;;
348;Costa & Castro Concretos;;
349;Durafort Concreto;;
350;MV PAV Engenharia;91780-576;
351;TatuíMix Concreto;18280-465;
352;fort beton concretos;;
353;Schein Concretos;;
354;Formax | Concreto Usinado;;
355;Contern Pré fabricados;08686-000;
356;Liliane - Novamix;;
357;Freitas Concreto;18730-000;
358;Pavilaje Pré-moldados LTDA;89930-000;
359;Concreteira Terra São João da Boa Vista;;
360;EBS águas;;
361;Sr Pavimentadora Pisos e Construções;;
362;Comak Concretos;00066-368;
363;Bennter - Argamassa Express RS;;
364;teccon concreto;;
365;VERO CONSTRUÇÃO;;
366;CONCRENOVA Concreto;29136-522;
367;Berto Pre Moldado;;
368;Blocos De Concreto Von Ah;;
369;Concreto Redimix JP;;
370;Concreteira;;
371;Mix Real Concretos;68906-301;
372;Cotragon Minérios;;
373;M2 Concreto e Locações;;
374;Concrebem Concreto Oficial;;
375;Concreto Confiança;;
376;FATALI PAVIMENTAÇÃO;;
377;ULTRAMIX CONCRETOS;92420-030;
378;dias pavimentações;;
379;SuperMassa Santarém;68025-740;
380;Golden Mix Concreto;;
381;Concreteira Qualimix;;
382;Pavimentação Asfáltica;65055-360;
383;RealX (Conta desativada);;
384;Prefabricados Concreto;;
385;Soebe Construtora;05425-070;
386;Concretale;;
387;;;
388;Concrebona - Concreto Usinado;76270-000;
389;Agremix Concreto;;
390;Concretomix G.Valadares;35054-060;
391;Base Mix Concretos;;
