"Is_Highlight","Object_Begin_Date","Tags","Dimensions","Is_Sculpture","area/volume"
"False",1532,"Trees","172.1 x 94.3",FALSE,16229.03
"False",1700,"Butterflies|Flowers","27.9 x 248.9",FALSE,6944.31
"False",1800,"Rivers|Landscapes|Boats","30.8 x 475.3",FALSE,14639.24
"False",1470,"Sleeping|Women","20.3 x 61.6",FALSE,1250.48
"False",1200,"Geese","31.4 x 28",FALSE,879.2
"False",1200,"Mountains|Landscapes","24.1 x 24.8",FALSE,597.68
"False",1900,"Emperors|Men|Portraits","28.3 x 22.2",FALSE,628.26
"False",1667,"Bodhisattvas|Lions|Buddhism","207.6 x 97.8",FALSE,20303.28
"False",1350,"Mountains|Landscapes","25.9 x 219.1",FALSE,5674.69
"False",1600,"Landscapes|Mountains","23.2 x 177.2",FALSE,4111.04
"False",1820,"Cats|Narcissus","93.7 x 36.8",FALSE,3448.16
"False",1947,"Flowers","113.7 x 66.0",FALSE,7504.2
"False",1518,"Peacocks|Flowers|Trees","89.5 x 193",FALSE,17273.5
"False",1561,"Men|Portraits","156.8 x 96.2",FALSE,15084.16
"False",1561,"Women|Portraits","156.8 x 96.2",FALSE,15084.16
"False",1634,"Men|Buddhism","25.7 x 30.2",FALSE,776.14
"False",1550,"Moon|Trees","152.4 x 89.7",FALSE,13670.28
"False",1000,"Bodhisattvas|Buddhism","139.1 x 54.6 x 54.6",TRUE,414679.356
"False",1654,"Rivers|Mountains|Landscapes","24.8 x 33",FALSE,818.4
"False",1654,"Mountains|Landscapes","24.8 x 33",FALSE,818.4
"False",1654,"Mountains|Landscapes","24.8 x 32.4",FALSE,803.52
"False",1470,"Landscapes|Trees|Boats","71.1 x 139.7",FALSE,9932.67
"False",1639,"Buffalos","27.3 x 441.3",FALSE,12047.49
"False",1635,"Mountains|Landscapes","32.1 x 1183.6",FALSE,37993.56
"False",1693,"Bamboo","170.5 x 45.6",FALSE,7774.8
"False",1912,"Women|Trees","214.3 x 78.1",FALSE,16736.83
"False",1350,"Flowers","162.2 x 60",FALSE,9732
"False",1657,"Landscapes|Mountains","115.9 x 56.2",FALSE,6513.58
"False",1726,"Animals|Mountains|Landscapes","119.4 x 54.6",FALSE,6519.24
"False",1692,"Mountains|Landscapes","68.3 x 46.4",FALSE,3169.12
"False",1470,"Poetry|Landscapes","21.0 x 19.7",FALSE,413.7
"False",1165,"Bodhisattvas|Buddhism|Buddha","25.6 x 746.3",FALSE,19105.28
"False",1700,"Roses|Cranes|Peaches|Trees","198.8 x 101",FALSE,20078.8
"False",1750,"Birds|Flowers","116.4 x 50",FALSE,5820
"False",1627,"Lions|Men","27.3 x 36.5",FALSE,996.45
"False",1631,"Lions|Trees","18.7 x 24.8",FALSE,463.76
"False",1649,"Lions","43 x 55.3",FALSE,2377.9
"False",1600,"Deities","58.4 x 23.2",FALSE,1354.88
"False",1615,"Deities|Buddhism","33.7 x 17.5",FALSE,589.75
"False",1800,"Women","57.7 x 21.9",FALSE,1263.63
"False",1600,"Men","62 x 22",FALSE,1364
"False",1700,"Men|Actors","45.5 x 21",FALSE,955.5
"False",1700,"Falcons","62.2 x 22.9",FALSE,1424.38
"False",1644,"Human Figures|Elephants","87.2 x 38.3",FALSE,3339.76
"False",1478,"Calligraphy","31.1 x 755.7",FALSE,23502.27
"False",1920,"Human Figures","130.8 x 52.1",FALSE,6814.68
"False",1864,"Orchids","82.9 x 45.4",FALSE,3763.66
"False",1675,"Landscapes|Boats","30.2 x 62.9",FALSE,1899.58
"True",1688,"Poetry|Landscapes","27.3 x 41",FALSE,1119.3
"False",1700,"Landscapes|Trees","222.9 x 113.7",FALSE,25343.73
"False",1623,"Mountains","18.4 x 51",FALSE,938.4
"False",1578,"Mountains|Landscapes","117.5 x 39.8",FALSE,4676.5
"False",1434,"Trees","156.8 x 69.9",FALSE,10960.32
"False",1200,"Deer|Gibbons","17.8 x 22.2",FALSE,395.16
"False",1487,"Mountains|Landscapes","141 x 71.1",FALSE,10025.1
"False",1700,"Plants","87.6 x 38.9",FALSE,3407.64
"False",1367,"Bodhisattvas|Buddhism","91.4 x 32.7",FALSE,2988.78
"False",1200,"Landscapes|Trees","25.6 x 26.4",FALSE,675.84
"False",1336,"Bodhisattvas|Waterfalls|Buddhism|Avalokiteshvara","116.2 x 51.8",FALSE,6019.16
"False",1800,"Men|Portraits","63.8 x 30.8",FALSE,1965.04
"False",1774,"Girls","103.8 x 33.3",FALSE,3456.54
"False",1804,"Mountains|Landscapes","15.6 x 52.4",FALSE,817.44
"False",1827,"Hills|Landscapes","24.8 x 34.3",FALSE,850.64
"False",1827,"Mountains|Landscapes","24.8 x 34.3",FALSE,850.64
"False",1868,"Grapes|Squirrels","17.6 x 51",FALSE,897.6
"False",1862,"Horses|Games|Men|Women","143.5 x 80.6",FALSE,11566.1
"False",1862,"Peonies","17.8 x 52.7",FALSE,938.06
"False",1859,"Insects","18.4 x 53.3",FALSE,980.72
"False",1867,"Mountains|Landscapes","25.7 x 16.2",FALSE,416.34
"False",1840,"Birds","25.9 x 32.4",FALSE,839.16
"False",1875,"Landscapes","23.7 x 24.9",FALSE,590.13
"False",1867,"Lotuses|Men","26",FALSE,26
"False",1869,"Men","17.1 x 51.1",FALSE,873.81
"False",1873,"Hawks","161.9 x 46.4",FALSE,7512.16
"False",1883,"Birds|Narcissus","18.4 x 53.3",FALSE,980.72
"False",1894,"Landscapes|Boats","18.4 x 51.6",FALSE,949.44
"False",1865,"Insects|Flowers","32.4 x 35.9",FALSE,1163.16
"False",1898,"Mountains|Landscapes","34 x 274",FALSE,9316
"False",1894,"Grapes|Squirrels|Leaves","16.8 x 50.2",FALSE,843.36
"False",1816,"Rivers|Landscapes","18.1 x 51.4",FALSE,930.34
"False",1907,"Mountains|Landscapes","144.1 x 77.5",FALSE,11167.75
"False",1839,"Mountains|Landscapes","131.4 x 41.9",FALSE,5505.66
"False",1901,"Bridges|Men","16.2 x 49.8",FALSE,806.76
"False",1912,"Hills|Landscapes","15.9 x 50.8",FALSE,807.72
"False",1910,"Pavilions|Landscapes","16.5 x 50.6",FALSE,834.9
"False",1894,"Landscapes|Plants","168.9 x 41.9",FALSE,7076.91
"False",1900,"Still Life","15.6 x 48.3",FALSE,753.48
"False",1900,"Flowers","27.9 x 43.8",FALSE,1222.02
"False",1921,"Mountains","19.5 x 54",FALSE,1053
"False",1914,"Landscapes|Trees","22.5 x 99.1",FALSE,2229.75
"False",1900,"Orchids","18.7 x 51.8",FALSE,968.66
