"Is_Highlight","Object_Begin_Date","Tags","Dimensions","Is_Sculpture","area/volume"
"False",1500,"Elephants","121.3 x 52.7",FALSE,6392.51
"False",1500,"Men","121.3 x 52.7",FALSE,6392.51
"False",1467,"Mountains","59.4 x 521.7",FALSE,30988.98
"False",1467,"Landscapes","59.4 x 521.7",FALSE,30988.98
"False",1467,"Landscapes","224.2 x 121.9",FALSE,27329.98
"False",1495,"Women","124.5 x 44.5",FALSE,5540.25
"False",1495,"Bamboo","124.5 x 44.5",FALSE,5540.25
"False",1630,"Mountains","148 x 66.4",FALSE,9827.2
"False",1630,"Landscapes","148 x 66.4",FALSE,9827.2
"False",1721,"Birds","94.1 x 43.7",FALSE,4112.17
"False",1644,"Landscapes","98.7 x 33.3",FALSE,3286.71
"False",1845,"Mountains","116.8 x 27.3",FALSE,3188.64
"False",1845,"Landscapes","116.8 x 27.3",FALSE,3188.64
"False",1800,"Men","49.8 x 634.4",FALSE,31593.12
"False",1800,"Buddhism","49.8 x 634.4",FALSE,31593.12
"False",1558,"Mountains","17.9 x 123.2",FALSE,2205.28
"False",1558,"Landscapes","17.9 x 123.2",FALSE,2205.28
"False",1368,"Birds","27.3 x 27.3",FALSE,745.29
"False",1368,"Pomegranates","27.3 x 27.3",FALSE,745.29
"False",1400,"Men","117.8 x 47",FALSE,5536.6
"False",1400,"Buddhism","117.8 x 47",FALSE,5536.6
"False",1368,"Mountains","154.9 x 46.4",FALSE,7187.36
"False",1368,"Landscapes","154.9 x 46.4",FALSE,7187.36
"False",1500,"Men","110.2 x 81.0",FALSE,8926.2
"False",1500,"Women","110.2 x 81.0",FALSE,8926.2
"False",1500,"Fishing","110.2 x 81.0",FALSE,8926.2
"False",1500,"Boats","110.2 x 81.0",FALSE,8926.2
"False",1559,"Waterfalls","110.5 x 24.8",FALSE,2740.4
"False",1703,"Landscapes","100.6 x 48.3",FALSE,4858.98
"False",1703,"Hills","100.6 x 48.3",FALSE,4858.98
"False",1644,"Waterfalls","43.8 x 49.5",FALSE,2168.1
"False",1644,"Landscapes","43.8 x 49.5",FALSE,2168.1
"False",1644,"Streams","43.8 x 49.5",FALSE,2168.1
"False",1759,"Mountains","124.5 x 40.6",FALSE,5054.7
"False",1759,"Landscapes","124.5 x 40.6",FALSE,5054.7
"True",1300,"Bodhisattvas","114.5 x 55.6",FALSE,6366.2
"True",1300,"Buddhism","114.5 x 55.6",FALSE,6366.2
"True",1300,"Avalokiteshvara","114.5 x 55.6",FALSE,6366.2
"False",1544,"Women","118.1 x 49.5",FALSE,5845.95
"False",1544,"Bamboo","118.1 x 49.5",FALSE,5845.95
"False",1200,"Buffalos","31.8 x 221.8",FALSE,7053.24
"False",1200,"Landscapes","31.8 x 221.8",FALSE,7053.24
"False",1500,"Landscapes","55.9 x 256.5",FALSE,14338.35
"False",1500,"Mountains","55.9 x 256.5",FALSE,14338.35
"False",1724,"Birds","113 x 60.3",FALSE,6813.9
"False",1724,"Flowers","113 x 60.3",FALSE,6813.9
"False",1200,"Landscapes","25.4 x 25.4",FALSE,645.16
"False",1200,"Trees","25.4 x 25.4",FALSE,645.16
"False",400,"Buddha","36.2 x 14 x 6.7",TRUE,3395.56
"False",1400,"Horses","25.7 x 22.9",FALSE,588.53
"False",1573,"Deities","72.4 x 58.4",FALSE,4228.16
